,0,1,2
afuC,273466.0,274513.0,-1.0
afuB,274524.0,274872.0,-1.0
insX,275824.0,276073.0,-1.0
yagB,276137.0,276446.0,-1.0
yagA,276539.0,277694.0,-1.0
yagE,277988.0,278897.0,1.0
yagF,278911.0,280879.0,1.0
yagG,281105.0,282488.0,1.0
yagH,282499.0,284110.0,1.0
yagI,284114.0,284873.0,-1.0
argF,285011.0,286016.0,-1.0
ykgS,286139.0,286344.0,1.0
yagJ,287114.0,287942.0,1.0
yagK,288032.0,288659.0,-1.0
yagL,288930.0,289629.0,-1.0
yagM,289655.0,290510.0,-1.0
yagN,290849.0,291290.0,-1.0
intF,291406.0,292807.0,-1.0
yagP,293091.0,293430.0,-1.0
ykgT,293424.0,293502.0,-1.0
paoD,293480.0,294437.0,-1.0
paoC,294446.0,296645.0,-1.0
paoB,296641.0,297598.0,-1.0
paoA,297594.0,298284.0,-1.0
yagU,298701.0,299316.0,1.0
ykgJ,299563.0,299893.0,-1.0
ecpE,300205.0,300916.0,-1.0
ecpD,300884.0,302528.0,-1.0
ecpC,302517.0,305043.0,-1.0
ecpB,305068.0,305737.0,-1.0
ecpA,305794.0,306382.0,-1.0
ecpR,306456.0,307047.0,-1.0
ykgL,307822.0,308050.0,1.0
ykgO,308084.0,308225.0,-1.0
ykgM,308224.0,308488.0,-1.0
ykgR,308851.0,308953.0,-1.0
ykgP,309426.0,309516.0,-1.0
eaeH,310067.0,310939.0,1.0
insE1,2163716.0,2164016.0,1.0
insF1,2164012.0,2164879.0,1.0
ykgA,312196.0,312880.0,-1.0
ykgQ,313149.0,313278.0,1.0
rclC,313436.0,314030.0,-1.0
rclB,314041.0,314278.0,-1.0
rclA,314386.0,315712.0,-1.0
rclR,315937.0,316792.0,1.0
ykgE,317318.0,318038.0,1.0
ykgF,318048.0,319476.0,1.0
ykgG,319468.0,320164.0,1.0
ykgH,320406.0,321075.0,-1.0
betA,321287.0,322958.0,-1.0
betB,322971.0,324444.0,-1.0
betI,324457.0,325045.0,-1.0
betT,325173.0,327207.0,1.0
yahA,328081.0,329170.0,1.0
yahB,329211.0,330144.0,-1.0
yahC,330235.0,330733.0,-1.0
yahD,330990.0,331596.0,1.0
yahE,331635.0,332499.0,1.0
yahF,332488.0,334036.0,1.0
yahG,334035.0,335454.0,1.0
yahI,335875.0,336826.0,1.0
yahJ,336835.0,338218.0,1.0
yahK,338594.0,339644.0,1.0
yahL,339886.0,340702.0,1.0
yahM,341114.0,341360.0,1.0
yahN,341376.0,342048.0,-1.0
yahO,342194.0,342470.0,1.0
prpR,342567.0,344154.0,-1.0
prpB,344392.0,345283.0,1.0
prpC,345722.0,346892.0,1.0
prpD,346925.0,348377.0,1.0
prpE,348416.0,350303.0,1.0
codB,350632.0,351892.0,1.0
codA,351881.0,353165.0,1.0
cynR,353501.0,354401.0,-1.0
cynT,354509.0,355169.0,1.0
cynS,355199.0,355670.0,1.0
cynX,355702.0,356857.0,1.0
lacA,356959.0,357571.0,-1.0
lacY,357636.0,358890.0,-1.0
lacZ,358941.0,360066.0,-1.0
lacI,360660.0,361743.0,-1.0
mhpR,361819.0,362653.0,-1.0
mhpA,362843.0,364508.0,1.0
mhpB,364509.0,365454.0,1.0
mhpC,365456.0,367561.0,1.0
mhpD,367570.0,368380.0,1.0
mhpF,368376.0,369327.0,1.0
mhpE,369323.0,370337.0,1.0
mhpT,370914.0,372126.0,1.0
yaiL,372227.0,372767.0,1.0
frmB,372990.0,373824.0,-1.0
frmA,373917.0,375027.0,-1.0
frmR,375061.0,375337.0,-1.0
yaiO,375524.0,376298.0,-1.0
yaiX,376299.0,378328.0,-1.0
insC1,4488088.0,4488454.0,1.0
insD1,4488411.0,4489317.0,1.0
yaiP,378194.0,379391.0,-1.0
yaiS,379514.0,380072.0,-1.0
tauA,380687.0,381650.0,1.0
tauB,381662.0,382430.0,1.0
tauC,382426.0,383254.0,1.0
tauD,383250.0,384102.0,1.0
hemB,384208.0,385183.0,-1.0
yaiT,385706.0,389874.0,1.0
yaiV,389961.0,390585.0,1.0
ampH,390585.0,391743.0,-1.0
sbmA,392094.0,393315.0,1.0
yaiW,393327.0,394422.0,1.0
yaiY,394480.0,394789.0,-1.0
yaiZ,395048.0,395261.0,1.0
ddlA,395284.0,396379.0,-1.0
iraP,396841.0,397102.0,1.0
phoA,397202.0,398618.0,1.0
psiF,398736.0,399057.0,1.0
yaiC,399158.0,400274.0,1.0
proC,400290.0,401100.0,-1.0
yaiI,401219.0,401678.0,1.0
aroL,401860.0,402385.0,1.0
yaiA,402434.0,402626.0,1.0
aroM,402883.0,403561.0,1.0
yaiE,403632.0,403917.0,1.0
ykiA,404064.0,404406.0,1.0
rdgC,404563.0,405475.0,-1.0
mak,405599.0,406508.0,1.0
araJ,406752.0,407937.0,-1.0
sbcC,408062.0,411209.0,-1.0
sbcD,411205.0,412408.0,-1.0
phoB,412597.0,413287.0,1.0
phoR,413344.0,414640.0,1.0
brnQ,415046.0,416366.0,1.0
proY,416441.0,417815.0,1.0
malZ,417973.0,419788.0,1.0
acpH,419792.0,420374.0,-1.0
queA,420466.0,421537.0,1.0
tgt,421592.0,422720.0,1.0
yajC,422742.0,423075.0,1.0
secD,423102.0,424950.0,1.0
secF,424960.0,425932.0,1.0
yajD,426060.0,426408.0,1.0
tsx,426584.0,427469.0,-1.0
yajI,427767.0,428307.0,-1.0
nrdR,428457.0,428907.0,1.0
ribD,428910.0,430014.0,1.0
ribE,430102.0,430573.0,1.0
nusB,430592.0,431012.0,1.0
thiL,431089.0,432067.0,1.0
pgpA,432044.0,432563.0,1.0
yajO,432616.0,433591.0,-1.0
dxs,433770.0,435633.0,-1.0
ispA,435657.0,436557.0,-1.0
xseB,436556.0,436799.0,-1.0
thiI,437004.0,438453.0,1.0
yajL,438506.0,439097.0,-1.0
panE,439059.0,439971.0,-1.0
yajQ,440138.0,440630.0,1.0
yajR,440757.0,442122.0,-1.0
cyoE,442270.0,443161.0,-1.0
cyoD,443172.0,443502.0,-1.0
cyoC,443501.0,444116.0,-1.0
cyoB,444105.0,446097.0,-1.0
cyoA,446118.0,447066.0,-1.0
ampG,447525.0,449001.0,-1.0
yajG,449044.0,449623.0,-1.0
bolA,449927.0,450245.0,1.0
tig,450588.0,451887.0,1.0
clpP,452132.0,452756.0,1.0
clpX,452881.0,454156.0,1.0
lon,454343.0,456698.0,1.0
hupB,456906.0,457179.0,1.0
ppiD,457370.0,459242.0,1.0
ybaV,459392.0,459764.0,1.0
fadM,459857.0,460256.0,1.0
queC,460307.0,461003.0,-1.0
ybaE,461067.0,462768.0,-1.0
cof,462867.0,463686.0,1.0
ybaO,463838.0,464297.0,1.0
mdlA,464326.0,466099.0,1.0
mdlB,466091.0,467873.0,1.0
glnK,468053.0,468392.0,1.0
amtB,468421.0,469708.0,1.0
tesB,469756.0,470617.0,-1.0
ybaY,470834.0,471407.0,1.0
ybaZ,471437.0,471827.0,-1.0
ybaA,472127.0,472481.0,1.0
ylaB,472522.0,474073.0,-1.0
ylaC,474236.0,474707.0,-1.0
maa,474822.0,475374.0,-1.0
hha,475545.0,475764.0,-1.0
tomB,475789.0,476164.0,-1.0
acrB,476709.0,479859.0,-1.0
acrA,479881.0,481075.0,-1.0
acrR,481216.0,481864.0,1.0
mscK,481991.0,485354.0,1.0
ybaM,485565.0,485727.0,-1.0
priC,485740.0,486268.0,-1.0
ybaN,486337.0,486715.0,1.0
apt,486867.0,487419.0,1.0
dnaX,487547.0,489479.0,1.0
ybaB,489531.0,489861.0,1.0
recR,489860.0,490466.0,1.0
htpG,490575.0,492450.0,1.0
adk,492630.0,493275.0,1.0
hemH,493510.0,494473.0,1.0
aes,494469.0,495429.0,-1.0
gsk,495580.0,496885.0,1.0
ybaL,497017.0,498694.0,-1.0
fsr,498931.0,500152.0,-1.0
ushA,500369.0,502022.0,1.0
ybaK,502058.0,502538.0,-1.0
ybaP,502741.0,503536.0,-1.0
ybaQ,503673.0,504015.0,1.0
copA,504330.0,506835.0,-1.0
glsA,507096.0,508029.0,1.0
ybaT,508031.0,509324.0,1.0
cueR,509448.0,509856.0,1.0
ybbJ,509856.0,510315.0,-1.0
qmcA,510311.0,511229.0,-1.0
fetA,511374.0,512052.0,1.0
fetB,512038.0,512818.0,1.0
ybbN,512880.0,513735.0,-1.0
ybbO,513795.0,514605.0,-1.0
tesA,514594.0,515221.0,-1.0
ybbA,515188.0,515875.0,1.0
ybbP,515871.0,518286.0,1.0
rhsD,518716.0,522997.0,1.0
ybbC,523036.0,523405.0,1.0
rhsH,523407.0,524115.0,1.0
ybbD,524095.0,524586.0,1.0
ylbI,524955.0,525048.0,1.0
ylbG,525050.0,525472.0,-1.0
mnmH,525587.0,526682.0,-1.0
allS,526750.0,527677.0,-1.0
allA,527906.0,528389.0,1.0
allR,528466.0,529282.0,1.0
gcl,529371.0,531153.0,1.0
hyi,531165.0,531942.0,1.0
glxR,532041.0,532920.0,1.0
ybbW,533088.0,534543.0,1.0
allB,534602.0,535964.0,1.0
ybbY,536020.0,537322.0,1.0
glxK,537343.0,538489.0,1.0
allE,538716.0,539502.0,-1.0
allC,539512.0,540748.0,-1.0
allD,540769.0,541819.0,-1.0
fdrA,542135.0,543803.0,1.0
ylbE,543812.0,545072.0,1.0
ylbF,545082.0,545898.0,1.0
ybcF,545894.0,546788.0,1.0
purK,546982.0,548050.0,-1.0
purE,548046.0,548556.0,-1.0
lpxH,548673.0,549396.0,-1.0
ppiB,549398.0,549893.0,-1.0
cysS,550066.0,551452.0,1.0
ybcI,551487.0,552009.0,-1.0
ybcJ,552116.0,552329.0,-1.0
folD,552330.0,553197.0,-1.0
sfmA,553667.0,554210.0,1.0
sfmC,554429.0,555122.0,1.0
sfmD,555152.0,557756.0,1.0
sfmH,557791.0,558775.0,1.0
sfmF,558785.0,559301.0,1.0
sfmZ,559303.0,559936.0,-1.0
intD,560270.0,561434.0,-1.0
xisD,561313.0,561535.0,-1.0
exoD,561553.0,561832.0,-1.0
peaD,561831.0,562143.0,1.0
renD,562139.0,563703.0,1.0
emrE,563770.0,564103.0,1.0
ybcK,564357.0,565884.0,1.0
ybcL,566348.0,566900.0,1.0
ybcM,566909.0,567707.0,1.0
ylcH,567823.0,567925.0,1.0
ybcN,567921.0,568377.0,1.0
ninE,568376.0,568547.0,1.0
ybcO,568539.0,568830.0,1.0
rusA,568826.0,569189.0,1.0
ylcG,569185.0,569326.0,1.0
quuD,569411.0,569795.0,1.0
nmpC,569984.0,572281.0,-1.0
essD,572853.0,573069.0,1.0
rrrD,573068.0,573566.0,1.0
rzpD,573562.0,574024.0,1.0
rzoD,573782.0,573965.0,1.0
borD,574055.0,574349.0,-1.0
ybcV,574639.0,575050.0,-1.0
ybcW,575335.0,575542.0,1.0
ylcI,575706.0,575901.0,-1.0
nohD,576289.0,576835.0,1.0
aaaD,576809.0,577118.0,1.0
tfaD,577115.0,577553.0,1.0
ybcY,577607.0,578262.0,-1.0
tfaX,578408.0,578591.0,1.0
appY,579136.0,579886.0,1.0
ompT,580135.0,581089.0,-1.0
envY,581602.0,582364.0,-1.0
ybcH,582546.0,583437.0,-1.0
nfrA,583437.0,586410.0,-1.0
nfrB,586396.0,588634.0,-1.0
cusS,588783.0,590226.0,-1.0
cusR,590215.0,590899.0,-1.0
cusC,591055.0,592429.0,1.0
cusF,592586.0,592919.0,1.0
cusB,592934.0,594158.0,1.0
cusA,594169.0,597313.0,1.0
pheP,597414.0,598791.0,1.0
ybdG,598871.0,600119.0,-1.0
nfsB,600226.0,600880.0,-1.0
ybdF,600973.0,601342.0,-1.0
ybdJ,601406.0,601655.0,-1.0
ybdK,601720.0,602839.0,-1.0
hokE,603291.0,603444.0,1.0
entD,604914.0,605535.0,-1.0
fepA,605709.0,607950.0,-1.0
fes,608192.0,609395.0,1.0
ybdZ,609397.0,609616.0,1.0
entF,609612.0,613494.0,1.0
fepE,613709.0,614843.0,1.0
fepC,614839.0,615655.0,-1.0
fepG,615651.0,616644.0,-1.0
fepD,616640.0,617645.0,-1.0
entS,617755.0,619006.0,1.0
fepB,619009.0,619966.0,-1.0
entC,620340.0,621516.0,1.0
entE,621525.0,623136.0,1.0
entB,623149.0,624007.0,1.0
entA,624006.0,624753.0,1.0
entH,624755.0,625169.0,1.0
cstA,625349.0,627455.0,1.0
ybdD,627637.0,627835.0,1.0
ybdH,627844.0,628933.0,-1.0
ybdL,629041.0,630202.0,1.0
ybdM,630202.0,630832.0,-1.0
ybdN,630804.0,632025.0,-1.0
ybdO,632171.0,633074.0,-1.0
dsbG,633282.0,634029.0,-1.0
ahpC,634400.0,634964.0,1.0
ahpF,635208.0,636774.0,1.0
uspG,636894.0,637323.0,-1.0
ybdR,637543.0,638782.0,1.0
rnk,639012.0,639423.0,-1.0
rna,639652.0,640459.0,-1.0
citT,640572.0,642036.0,-1.0
citG,642086.0,642965.0,-1.0
citX,642939.0,643491.0,-1.0
citF,643494.0,645027.0,-1.0
citE,645037.0,645946.0,-1.0
citD,645942.0,646239.0,-1.0
citC,646253.0,647312.0,-1.0
citA,647690.0,649349.0,1.0
citB,649317.0,649998.0,1.0
dcuC,650038.0,651424.0,-1.0
pagP,652012.0,652573.0,1.0
cspE,652747.0,652957.0,1.0
flc,653010.0,653394.0,-1.0
ybeM,653486.0,654274.0,1.0
tatE,654402.0,654606.0,1.0
lipA,654706.0,655672.0,-1.0
ybeF,655880.0,656834.0,-1.0
lipB,657092.0,657734.0,-1.0
ybeD,657834.0,658098.0,-1.0
dacA,658207.0,659419.0,-1.0
rlpA,659557.0,660646.0,-1.0
mrdB,660656.0,661769.0,-1.0
mrdA,661771.0,663673.0,-1.0
rlmH,663703.0,664171.0,-1.0
rsfS,664174.0,664492.0,-1.0
cobC,664751.0,665363.0,-1.0
nadD,665386.0,666028.0,-1.0
holA,666029.0,667061.0,-1.0
lptE,667060.0,667642.0,-1.0
leuS,667656.0,670239.0,-1.0
ybeL,670473.0,670956.0,1.0
ybeQ,671025.0,672003.0,-1.0
ybeR,672166.0,672874.0,1.0
djlB,672870.0,674298.0,1.0
ybeT,674307.0,674862.0,-1.0
ybeU,674963.0,675671.0,1.0
djlC,675667.0,677119.0,1.0
hscC,677178.0,678849.0,-1.0
rihA,678932.0,679868.0,-1.0
gltL,679985.0,680711.0,-1.0
gltK,680710.0,681385.0,-1.0
gltJ,681384.0,682125.0,-1.0
gltI,682294.0,683203.0,-1.0
lnt,684798.0,686337.0,-1.0
ybeX,686361.0,687240.0,-1.0
ybeY,687329.0,687797.0,-1.0
ybeZ,687793.0,688834.0,-1.0
miaB,688986.0,690411.0,-1.0
ubiF,690556.0,691732.0,1.0
asnB,692968.0,694633.0,-1.0
umpH,695029.0,695782.0,-1.0
nagC,695829.0,697050.0,-1.0
nagA,697058.0,698207.0,-1.0
nagB,698266.0,699067.0,-1.0
nagE,699399.0,701346.0,1.0
glnS,701548.0,703213.0,1.0
chiP,703789.0,705196.0,1.0
chiQ,705245.0,705572.0,1.0
fur,705655.0,706102.0,-1.0
uof,706094.0,706181.0,-1.0
fldA,706390.0,706921.0,-1.0
ybfE,707060.0,707354.0,-1.0
ybfF,707493.0,708258.0,-1.0
seqA,708442.0,708988.0,1.0
pgm,709013.0,710654.0,1.0
ybfP,710867.0,711362.0,1.0
ybfG,711402.0,712053.0,-1.0
ybfI,712176.0,712326.0,-1.0
potE,712401.0,713721.0,-1.0
speF,713717.0,715916.0,-1.0
ybfK,716038.0,716296.0,1.0
kdpE,716511.0,717189.0,-1.0
kdpD,717185.0,719870.0,-1.0
kdpC,719862.0,720435.0,-1.0
kdpB,720443.0,722492.0,-1.0
kdpA,722514.0,724188.0,-1.0
kdpF,724187.0,724277.0,-1.0
ybfA,724589.0,724796.0,1.0
rhsC,725038.0,729232.0,1.0
ybfB,729231.0,729558.0,1.0
rhsO,729588.0,731109.0,1.0
ybfC,731105.0,731675.0,1.0
ybfQ,731900.0,732140.0,1.0
ybfL,732280.0,733417.0,1.0
ybfD,733547.0,734309.0,1.0
ybgA,734456.0,734966.0,1.0
phr,734962.0,736381.0,1.0
dtpD,736530.0,738012.0,-1.0
ybgI,738282.0,739026.0,1.0
ybgJ,739048.0,739705.0,1.0
ybgK,739698.0,740631.0,1.0
ybgL,740620.0,741355.0,1.0
nei,741390.0,742182.0,1.0
abrB,742178.0,743225.0,-1.0
ybgO,743376.0,744438.0,-1.0
ybgP,744434.0,745163.0,-1.0
ybgQ,745177.0,747625.0,-1.0
ybgD,747684.0,748251.0,-1.0
gltA,748640.0,749924.0,-1.0
sdhC,750632.0,751022.0,1.0
sdhD,751015.0,751363.0,1.0
sdhA,751362.0,753129.0,1.0
sdhB,753144.0,753861.0,1.0
sucA,754161.0,756963.0,1.0
sucB,756977.0,758195.0,1.0
sucC,758469.0,759636.0,1.0
sucD,759635.0,760505.0,1.0
mngR,760608.0,761331.0,-1.0
mngA,761439.0,763416.0,1.0
mngB,763433.0,766067.0,1.0
cydA,766913.0,768482.0,1.0
cydB,768497.0,769637.0,1.0
cydX,769651.0,769765.0,1.0
ybgE,769764.0,770058.0,1.0
ybgC,770207.0,770612.0,1.0
tolQ,770608.0,771301.0,1.0
tolR,771304.0,771733.0,1.0
tolA,771797.0,773063.0,1.0
tolB,773195.0,774488.0,1.0
pal,774522.0,775044.0,1.0
ybgF,775053.0,775845.0,1.0
nadA,777540.0,778584.0,1.0
pnuC,778621.0,779341.0,1.0
zitB,779337.0,780279.0,-1.0
ybgS,780392.0,780773.0,-1.0
aroG,781088.0,782141.0,1.0
gpmA,782298.0,783051.0,-1.0
galM,783252.0,784293.0,-1.0
galK,784286.0,785435.0,-1.0
galT,785438.0,786485.0,-1.0
galE,786494.0,787511.0,-1.0
modF,787771.0,789244.0,-1.0
modE,789311.0,790100.0,-1.0
acrZ,790228.0,790378.0,1.0
modA,790544.0,791318.0,1.0
modB,791317.0,792007.0,1.0
modC,792009.0,793068.0,1.0
ybhA,793068.0,793887.0,-1.0
pgl,794041.0,795037.0,1.0
ybhD,795077.0,796031.0,-1.0
ybhH,796214.0,797267.0,1.0
ybhI,797342.0,798776.0,1.0
ybhJ,798958.0,801220.0,1.0
ybhC,801453.0,802737.0,-1.0
ybhB,802888.0,803365.0,-1.0
bioA,803423.0,804713.0,-1.0
bioB,804799.0,805840.0,1.0
bioF,805836.0,806991.0,1.0
bioC,806977.0,807733.0,1.0
bioD,807725.0,808403.0,1.0
